Id;Mots;Mots_sans_lastharaKa;Mots_sans_harakat;orientation;force;Score
102;أَفْصَحُ;أَفْصَح;أفصح;Positive;Median;2.0
103;أَفْضَلُ;أَفْضَل;أفضل;Positive;Median;2.0
104;أَفْطَنُ;أَفْطَن;أفطن;Positive;High;3.0
105;أَفْظَعُ;أَفْظَع;أفظع;Negative;Median;-2.0
106;أَفْقَرُ;أَفْقَر;أفقر;Negative;High;-3.0
107;أَفْقَهُ;أَفْقَه;أفقه;Positive;High;3.0
108;أَقْبَحُ;أَقْبَح;أقبح;Negative;High;-3.0
109;أَقْدَمُ;أَقْدَم;أقدم;Negative;High;-3.0
110;أَقْرَبُ;أَقْرَب;أقرب;Positive;Median;2.0
111;أَقْسَى;أَقْسَى;أقسى;Negative;High;-3.0
112;أَقْصَرُ;أَقْصَر;أقصر;Neutre;Median;0.0
113;أَقَلُّ;أَقَلّ;أقل;Positive;Median;2.0
114;أَقْمَأُ;أَقْمَأ;أقمأ;Positive;Low;1.0
115;أَكْبَرُ;أَكْبَر;أكبر;Positive;High;3.0
116;أَكْثَرُ;أَكْثَر;أكثر;Positive;Median;2.0
117;أَكْدَرُ;أَكْدَر;أكدر;Negative;Median;-2.0
118;أَكْذَبُ;أَكْذَب;أكذب;Negative;High;-3.0
119;أَكْرَمُ;أَكْرَم;أكرم;Positive;High;3.0
120;أَكْرَهُ;أَكْرَه;أكره;Negative;High;-3.0
121;أَلْأَمُ;أَلْأَم;ألأم;Negative;High;-3.0
122;أَلْطَفُ;أَلْطَف;ألطف;Positive;Median;2.0
123;أَمْتَنُ;أَمْتَن;أمتن;Positive;High;3.0
124;أَمْثَلُ;أَمْثَل;أمثل;Neutre;Median;0.0
125;أَمْجَدُ;أَمْجَد;أمجد;Positive;High;3.0
126;أَمْلَحُ;أَمْلَح;أملح;Positive;Median;2.0
127;أَمْنَعُ;أَمْنَع;أمنع;Negative;Median;-2.0
128;أَنْبَلُ;أَنْبَل;أنبل;Positive;Median;2.0
129;أَنْبَهُ;أَنْبَه;أنبه;Positive;High;3.0
130;أَنْجَبُ;أَنْجَب;أنجب;Positive;Median;2.0
131;أَنْحَفُ;أَنْحَف;أنحف;Positive;Median;2.0
132;أَنْحَلُ;أَنْحَل;أنحل;Positive;Low;1.0
133;أَنْزَهُ;أَنْزَه;أنزه;Positive;Median;2.0
134;أَنْشَطُ;أَنْشَط;أنشط;Positive;High;3.0
135;أَنْصَعُ;أَنْصَع;أنصع;Positive;Median;2.0
136;أَنْضَجُ;أَنْضَج;أنضج;Positive;High;3.0
137;أَنْضَرُ;أَنْضَر;أنضر;Positive;Median;2.0
138;أَنْظَفُ;أَنْظَف;أنظف;Positive;High;3.0
139;أَنْفَسُ;أَنْفَس;أنفس;Positive;High;3.0
140;أَهْدَأُ;أَهْدَأ;أهدأ;Positive;Median;2.0
141;أَهْدَى;أَهْدَى;أهدى;Positive;Median;2.0
142;أَهْوَنُ;أَهْوَن;أهون;Negative;Median;-2.0
143;أَوْجَزُ;أَوْجَز;أوجز;Positive;High;3.0
144;أَوْجَهُ;أَوْجَه;أوجه;Positive;Median;2.0
145;أَوْسَعُ;أَوْسَع;أوسع;Positive;High;3.0
146;أَوْضَأُ;أَوْضَأ;أوضأ;Positive;Median;2.0
147;أَوْضَحُ;أَوْضَح;أوضح;Positive;Median;2.0
148;أَوْضَعُ;أَوْضَع;أوضع;Negative;Median;-2.0
149;أَوْطَأُ;أَوْطَأ;أوطأ;Positive;High;3.0
150;أَيْبَسُ;أَيْبَس;أيبس;Negative;Median;-2.0
151;أَيْسَرُ;أَيْسَر;أيسر;Positive;Low;1.0
152;خَيْرُ;خَيْر;خير;Positive;Median;2.0
153;شَرُّ;شَرّ;شر;Negative;Median;-2.0
154;آبٍ;آب;آب;Negative;High;-3.0
155;إِبَاءٌ;إِبَاء;إباء;Positive;Median;2.0
156;أَبَّاءٌ;أَبَّاء;أباء;Negative;High;-3.0
157;أَبَى;أَبَى;أبى;Negative;Median;-2.0
158;أَبْيَةٌ;أَبْيَة;أبية;Negative;Low;-1.0
159;إِيبَاءٌ;إِيبَاء;إيباء;Negative;High;-3.0
160;إِيبَاءَةٌ;إِيبَاءَة;إيباءة;Negative;Low;-1.0
161;مُؤْبٍ;مُؤْب;مؤب;Negative;Low;-1.0
162;مُؤْبًى;مُؤْبى;مؤبى;Negative;Median;-2.0
163;مُؤْبًى;مُؤْبى;مؤبى;Negative;Median;-2.0
164;مَأْبِيٌّ;مَأْبِيّ;مأبي;Negative;Median;-2.0
165;أَتَّمَ;أَتَّم;أتم;Positive;High;3.0
166;آتَمَ;آتَم;آتم;Negative;Low;-1.0
167;إِتْمَامٌ;إِتْمَام;إتمام;Positive;High;3.0
168;إِتْمَامَةٌ;إِتْمَامَة;إتمامة;Positive;Low;1.0
169;إِيتَامٌ;إِيتَام;إيتام;Positive;Low;1.0
170;إِيتَامَةٌ;إِيتَامَة;إيتامة;Negative;Low;-1.0
171;تَأْتِيمٌ;تَأْتِيم;تأتيم;Negative;Median;-2.0
172;تَأْتِيمَةٌ;تَأْتِيمَة;تأتيمة;Negative;Low;-1.0
173;مُؤَتَّمٌ;مُؤَتَّم;مؤتم;Negative;Median;-2.0
174;مُؤَتَّمٌ;مُؤَتَّم;مؤتم;Negative;Median;-2.0
175;مُؤَتِّمٌ;مُؤَتِّم;مؤتم;Negative;Median;-2.0
176;مُؤْتَمٌ;مُؤْتَم;مؤتم;Negative;Median;-2.0
177;مُؤْتِمٌ;مُؤْتِم;مؤتم;Negative;Median;-2.0
178;مُتَمٌّ;مُتَمّ;متم;Positive;Median;2.0
179;مُتَمٌّ;مُتَمّ;متم;Positive;Median;2.0
180;مُتِمٌّ;مُتِمّ;متم;Positive;Median;2.0
181;آتَى;آتَى;آتى;Positive;High;3.0
182;تَأَتٍّ;تَأَتّ;تأت;Positive;Median;2.0
183;تَأَتِّيَةٌ;تَأَتِّيَة;تأتية;Positive;Low;1.0
184;مُتَأَتٍّ;مُتَأَتّ;متأت;Positive;Median;2.0
185;مُتَأَتًّى;مُتَأَتّى;متأتى;Positive;Median;2.0
186;مُتَأَتًّى;مُتَأَتّى;متأتى;Positive;Median;2.0
187;أَثَرٌ;أَثَر;أثر;Neutre;Median;0.0
188;مَأْثُورٌ;مَأْثُور;مأثور;Positive;Median;2.0
189;مُسْتَأْثَرٌ;مُسْتَأْثَر;مستأثر;Positive;Median;2.0
190;أَخُذَ;أَخُذ;أخذ;Negative;Median;-2.0
191;إِيخَاذٌ;إِيخَاذ;إيخاذ;Neutre;Median;0.0
192;تَأْخَاذٌ;تَأْخَاذ;تأخاذ;Positive;Median;2.0
193;مُؤَخَّذٌ;مُؤَخَّذ;مؤخذ;Negative;High;-3.0
194;مَأْخَذٌ;مَأْخَذ;مأخذ;Neutre;Median;0.0
195;مُؤْخَذٌ;مُؤْخَذ;مؤخذ;Negative;Median;-2.0
196;مُؤْخِذٌ;مُؤْخِذ;مؤخذ;Positive;Low;1.0
197;تَأَرْجَحَ;تَأَرْجَح;تأرجح;Negative;Median;-2.0
198;تَأَرْجُحٌ;تَأَرْجُح;تأرجح;Negative;Median;-2.0
199;تَأَرْجُحَةٌ;تَأَرْجُحَة;تأرجحة;Negative;Low;-1.0
200;مُتَأَرْجَحٌ;مُتَأَرْجَح;متأرجح;Negative;High;-3.0
201;مُتَأَرْجَحٌ;مُتَأَرْجَح;متأرجح;Negative;High;-3.0
202;مُتَأَرْجِحٌ;مُتَأَرْجِح;متأرجح;Negative;Median;-2.0
203;مُتَأَرْجِحٌ;مُتَأَرْجِح;متأرجح;Negative;High;-3.0
204;مُؤَرَّخٌ;مُؤَرَّخ;مؤرخ;Positive;Median;2.0
205;مُؤَرَّخٌ;مُؤَرَّخ;مؤرخ;Positive;Median;2.0
206;آسٍ;آس;آس;Negative;Median;-2.0
207;أَسَّاءٌ;أَسَّاء;أساء;Negative;High;-3.0
208;آسَى;آسَى;آسى;Negative;Median;-2.0
209;أَسِيَ;أَسِي;أسي;Negative;High;-3.0
210;أَسْيٌ;أَسْي;أسي;Negative;Median;-2.0
211;أَسْيَانُ;أَسْيَان;أسيان;Negative;High;-3.0
212;أَسْيَةٌ;أَسْيَة;أسية;Negative;Low;-1.0
213;إِسْيَةٌ;إِسْيَة;إسية;Negative;Low;-1.0
214;مَأْسًى;مَأْسى;مأسى;Negative;Low;-1.0
215;مَأْسِيٌّ;مَأْسِيّ;مأسي;Negative;Low;-1.0
216;إِصْدَادٌ;إِصْدَاد;إصداد;Positive;Median;2.0
217;إِصْدَادَةٌ;إِصْدَادَة;إصدادة;Positive;Low;1.0
218;مُصَدٌّ;مُصَدّ;مصد;Negative;Median;-2.0
219;مُصَدٌّ;مُصَدّ;مصد;Negative;Median;-2.0
220;مُصِدٌّ;مُصِدّ;مصد;Positive;High;3.0
221;أَصَّلَ;أَصَّل;أصل;Positive;High;3.0
222;آصَلَ;آصَل;آصل;Positive;Median;2.0
223;إِيصَالٌ;إِيصَال;إيصال;Neutre;Median;0.0
224;اسْتِئْصَالٌ;اسْتِئْصَال;استئصال;Positive;Median;2.0
225;اسْتِئْصَالَةٌ;اسْتِئْصَالَة;استئصالة;Negative;Low;-1.0
226;اِسْتَأْصَلَ;اِسْتَأْصَل;استأصل;Positive;High;3.0
227;تَأَصَّلَ;تَأَصَّل;تأصل;Positive;Median;2.0
228;تَأَصُّلٌ;تَأَصُّل;تأصل;Positive;Median;2.0
229;تَأَصُّلَةٌ;تَأَصُّلَة;تأصلة;Positive;High;3.0
230;تَأْصِيلٌ;تَأْصِيل;تأصيل;Positive;Median;2.0
231;تَأْصِيلَةٌ;تَأْصِيلَة;تأصيلة;Positive;Low;1.0
232;مُؤَصَّلٌ;مُؤَصَّل;مؤصل;Positive;Median;2.0
233;مُؤَصَّلٌ;مُؤَصَّل;مؤصل;Positive;Median;2.0
234;مُؤَصِّلٌ;مُؤَصِّل;مؤصل;Positive;High;3.0
235;مُؤْصَلٌ;مُؤْصَل;مؤصل;Positive;Median;2.0
236;مُؤْصَلٌ;مُؤْصَل;مؤصل;Positive;Median;2.0
237;مُؤْصِلٌ;مُؤْصِل;مؤصل;Positive;Median;2.0
238;مُتَأَصَّلٌ;مُتَأَصَّل;متأصل;Positive;Median;2.0
239;مُتَأَصَّلٌ;مُتَأَصَّل;متأصل;Positive;Median;2.0
240;مُتَأَصِّلٌ;مُتَأَصِّل;متأصل;Positive;Median;2.0
241;مُسْتَأْصَلٌ;مُسْتَأْصَل;مستأصل;Negative;High;-3.0
242;مُسْتَأْصَلٌ;مُسْتَأْصَل;مستأصل;Negative;High;-3.0
243;مُسْتَأْصِلٌ;مُسْتَأْصِل;مستأصل;Positive;Median;2.0
244;أَفَّالٌ;أَفَّال;أفال;Negative;Median;-2.0
245;آفِلٌ;آفِل;آفل;Negative;High;-3.0
246;أَفْلٌ;أَفْل;أفل;Negative;Median;-2.0
247;أَفْلَةٌ;أَفْلَة;أفلة;Negative;Low;-1.0
248;إِفْلَةٌ;إِفْلَة;إفلة;Negative;Low;-1.0
249;مَأْفَلٌ;مَأْفَل;مأفل;Negative;Median;-2.0
250;مَأْفُولٌ;مَأْفُول;مأفول;Negative;Median;-2.0
251;تَأَقْلَمَ;تَأَقْلَم;تأقلم;Positive;Median;2.0
252;تَأَقْلُمٌ;تَأَقْلُم;تأقلم;Positive;High;3.0
253;مُتَأَقْلَمٌ;مُتَأَقْلَم;متأقلم;Positive;Median;2.0
254;مُتَأَقْلَمٌ;مُتَأَقْلَم;متأقلم;Positive;Median;2.0
255;مُتَأَقْلِمٌ;مُتَأَقْلِم;متأقلم;Positive;High;3.0
256;تَأَكْسَدَ;تَأَكْسَد;تأكسد;Negative;Median;-2.0
257;تَأَكْسُدٌ;تَأَكْسُد;تأكسد;Negative;Median;-2.0
258;تَأَكْسُدَةٌ;تَأَكْسُدَة;تأكسدة;Negative;Low;-1.0
259;مُتَأَكْسَدٌ;مُتَأَكْسَد;متأكسد;Negative;Median;-2.0
260;مُتَأَكْسَدٌ;مُتَأَكْسَد;متأكسد;Negative;Median;-2.0
261;مُتَأَكْسِدٌ;مُتَأَكْسِد;متأكسد;Negative;High;-3.0
262;مَأْلُوفٌ;مَأْلُوف;مألوف;Positive;High;3.0
263;إِلَاقٌ;إِلَاق;إلاق;Negative;Median;-2.0
264;آلِقٌ;آلِق;آلق;Negative;High;-3.0
265;أَلِقَ;أَلِق;ألق;Negative;High;-3.0
266;أَلْقَةٌ;أَلْقَة;ألقة;Negative;Low;-1.0
267;إِلْقَةٌ;إِلْقَة;إلقة;Negative;Median;-2.0
268;أَلَّاقٌ;أَلَّاق;ألاق;Negative;Median;-2.0
269;تَأَلَّقَ;تَأَلَّق;تألق;Positive;High;3.0
270;تَأَلُّقٌ;تَأَلُّق;تألق;Positive;High;3.0
271;تَأَلُّقَةٌ;تَأَلُّقَة;تألقة;Positive;Low;1.0
272;مَأْلَقٌ;مَأْلَق;مألق;Negative;Median;-2.0
273;مَأْلُوقٌ;مَأْلُوق;مألوق;Negative;Median;-2.0
274;مُتَأَلَّقٌ;مُتَأَلَّق;متألق;Positive;Median;2.0
275;مُتَأَلَّقٌ;مُتَأَلَّق;متألق;Positive;Median;2.0
276;مُتَأَلِّقٌ;مُتَأَلِّق;متألق;Positive;High;3.0
277;إِلَاهَةٌ;إِلَاهَة;إلاهة;Positive;High;3.0
278;أَلَّاهٌ;أَلَّاه;ألاه;Positive;High;3.0
279;آلِهٌ;آلِه;آله;Positive;High;3.0
280;أَلِهَ;أَلِه;أله;Positive;Median;2.0
281;أَلْهَةٌ;أَلْهَة;ألهة;Positive;Low;1.0
282;إِلْهَةٌ;إِلْهَة;إلهة;Positive;Low;1.0
283;مَأْلَهٌ;مَأْلَه;مأله;Negative;High;-3.0
284;مَأْلُوهٌ;مَأْلُوه;مألوه;Positive;Median;2.0
285;أَمِدَ;أَمِد;أمد;Positive;Low;1.0
286;إِمْدَادٌ;إِمْدَاد;إمداد;Positive;Median;2.0
287;إِمْدَادَةٌ;إِمْدَادَة;إمدادة;Positive;Low;1.0
288;أَمْدَةٌ;أَمْدَة;أمدة;Positive;Median;2.0
289;إِمْدَةٌ;إِمْدَة;إمدة;Positive;Low;1.0
290;أَمَّادٌ;أَمَّاد;أماد;Negative;High;-3.0
291;مَأْمُودٌ;مَأْمُود;مأمود;Negative;Median;-2.0
292;مُمَدٌّ;مُمَدّ;ممد;Positive;Median;2.0
293;مُمَدٌّ;مُمَدّ;ممد;Positive;Median;2.0
294;إِيمَارَةٌ;إِيمَارَة;إيمارة;Neutre;Median;0.0
295;أَمَانٌ;أَمَان;أمان;Positive;Median;2.0
296;أَمَّانٌ;أَمَّان;أمان;Positive;High;3.0
297;آمَنَ;آمَن;آمن;Positive;High;3.0
298;آمِنٌ;آمِن;آمن;Positive;Median;2.0
299;أَمْنَةٌ;أَمْنَة;أمنة;Positive;Low;1.0
300;إِمْنَةٌ;إِمْنَة;إمنة;Positive;Low;1.0
301;أَمِينٌ;أَمِين;أمين;Positive;Median;2.0
302;تَأْمِينَةٌ;تَأْمِينَة;تأمينة;Positive;Low;1.0
303;مَأْمَنٌ;مَأْمَن;مأمن;Positive;Median;2.0
304;مَأْمُونٌ;مَأْمُون;مأمون;Positive;Median;2.0
305;آنِسٌ;آنِس;آنس;Positive;Median;2.0
306;أَنَسٌ;أَنَس;أنس;Neutre;Median;0.0
307;أَنْسَةٌ;أَنْسَة;أنسة;Positive;Low;1.0
308;إِنْسَةٌ;إِنْسَة;إنسة;Positive;Low;1.0
309;أَنَّاسٌ;أَنَّاس;أناس;Positive;Median;2.0
310;أَنِيسٌ;أَنِيس;أنيس;Positive;High;3.0
311;مَأْنَسٌ;مَأْنَس;مأنس;Positive;High;3.0
312;مَأْنُوسٌ;مَأْنُوس;مأنوس;Positive;Median;2.0
313;إِبْتَارٌ;إِبْتَار;إبتار;Negative;Median;-2.0
314;إِبْتَارَةٌ;إِبْتَارَة;إبتارة;Negative;Low;-1.0
315;أَبْتَرَ;أَبْتَر;أبتر;Positive;Median;2.0
316;انْبِتَارٌ;انْبِتَار;انبتار;Negative;Median;-2.0
317;انْبِتَارَةٌ;انْبِتَارَة;انبتارة;Negative;Low;-1.0
318;اِنْبَتَرَ;اِنْبَتَر;انبتر;Negative;Median;-2.0
319;بَتَرٌ;بَتَر;بتر;Negative;Median;-2.0
320;تَبَتَّرَ;تَبَتَّر;تبتر;Negative;High;-3.0
321;تَبَتُّرٌ;تَبَتُّر;تبتر;Negative;High;-3.0
322;تَبَتُّرَةٌ;تَبَتُّرَة;تبترة;Negative;Low;-1.0
323;مَبْتَرٌ;مَبْتَر;مبتر;Neutre;Median;0.0
324;مُبْتَرٌ;مُبْتَر;مبتر;Negative;Median;-2.0
325;مُبْتَرٌ;مُبْتَر;مبتر;Negative;Median;-2.0
326;مَبْتُورٌ;مَبْتُور;مبتور;Negative;High;-3.0
327;مُتَبَتَّرٌ;مُتَبَتَّر;متبتر;Negative;High;-3.0
328;مُتَبَتَّرٌ;مُتَبَتَّر;متبتر;Negative;High;-3.0
329;مُتَبَتِّرٌ;مُتَبَتِّر;متبتر;Negative;High;-3.0
330;مُنْبَتَرٌ;مُنْبَتَر;منبتر;Negative;Median;-2.0
331;مُنْبَتَرٌ;مُنْبَتَر;منبتر;Negative;Median;-2.0
332;مُنْبَتِرٌ;مُنْبَتِر;منبتر;Negative;Median;-2.0
333;بَاتِلٌ;بَاتِل;باتل;Positive;Median;2.0
334;بَتَّالٌ;بَتَّال;بتال;Positive;High;3.0
335;بَتِلَ;بَتِل;بتل;Positive;Median;2.0
336;بَتْلٌ;بَتْل;بتل;Positive;High;3.0
337;بَتْلَةٌ;بَتْلَة;بتلة;Positive;Low;1.0
338;بِتْلَةٌ;بِتْلَة;بتلة;Positive;Low;1.0
339;مَبْتَلٌ;مَبْتَل;مبتل;Positive;Low;1.0
340;مَبْتُولٌ;مَبْتُول;مبتول;Negative;Median;-2.0
341;بَاجِلٌ;بَاجِل;باجل;Positive;Median;2.0
342;بَجِيلٌ;بَجِيل;بجيل;Positive;High;3.0
343;بَخْتَرَ;بَخْتَر;بختر;Positive;High;3.0
344;بَخْتَرَةٌ;بَخْتَرَة;بخترة;Positive;Median;2.0
345;بَخْتَرَةٌ;بَخْتَرَة;بخترة;Positive;Median;2.0
346;مُبَخْتَرٌ;مُبَخْتَر;مبختر;Positive;Median;2.0
347;مُبَخْتَرٌ;مُبَخْتَر;مبختر;Positive;Median;2.0
348;مُبَخْتِرٌ;مُبَخْتِر;مبختر;Positive;High;3.0
349;تَبَخَّرَ;تَبَخَّر;تبخر;Positive;Median;2.0
350;بَخَّسَ;بَخَّس;بخس;Negative;High;-3.0
351;بَخْسَةٌ;بَخْسَة;بخسة;Negative;Low;-1.0
352;مُبَخَّسٌ;مُبَخَّس;مبخس;Negative;High;-3.0
353;مُبَخَّسٌ;مُبَخَّس;مبخس;Negative;High;-3.0
354;مُبَخِّسٌ;مُبَخِّس;مبخس;Negative;High;-3.0
355;مَبْخُوسٌ;مَبْخُوس;مبخوس;Negative;Median;-2.0
356;بَاخِصٌ;بَاخِص;باخص;Negative;Median;-2.0
357;تَبَخُّلٌ;تَبَخُّل;تبخل;Negative;High;-3.0
358;تَبَخُّلَةٌ;تَبَخُّلَة;تبخلة;Negative;Low;-1.0
359;مُتَبَخَّلٌ;مُتَبَخَّل;متبخل;Negative;Median;-2.0
360;مُتَبَخَّلٌ;مُتَبَخَّل;متبخل;Negative;Median;-2.0
361;مُتَبَخِّلٌ;مُتَبَخِّل;متبخل;Negative;High;-3.0
362;اِبْتَدَعَ;اِبْتَدَع;ابتدع;Positive;Median;2.0
363;بَدَاعَةٌ;بَدَاعَة;بداعة;Positive;Median;2.0
364;بَدْعٌ;بَدْع;بدع;Neutre;Median;0.0
365;بَدْعَةٌ;بَدْعَة;بدعة;Positive;Low;1.0
366;بِدْعَةٌ;بِدْعَة;بدعة;Positive;Low;1.0
367;بَدِيعٌ;بَدِيع;بديع;Positive;High;3.0
368;بَاذَأَ;بَاذَأ;باذأ;Negative;Median;-2.0
369;بَذَاءٌ;بَذَاء;بذاء;Negative;Low;-1.0
370;مُبَاذَأٌ;مُبَاذَأ;مباذأ;Negative;Low;-1.0
371;مَبْذَلٌ;مَبْذَل;مبذل;Negative;High;-3.0
372;مُبَرَّأٌ;مُبَرَّأ;مبرأ;Positive;Low;1.0
373;إِبْرَادٌ;إِبْرَاد;إبراد;Neutre;Median;0.0
